Tarih,Magaza_ID,Urun_ID,Satis_Adedi,Stok_Miktari,Birim_Fiyat,Stokout_Flag,Ana_Kategori,Alt_Kategori,Marka_Grubu,Promosyon_Flag
2025-01-01,M01,U001,18,70,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-02,M01,U001,20,50,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-03,M01,U001,20,30,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-04,M01,U001,22,8,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-05,M01,U001,8,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-06,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-07,M01,U001,16,71,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-08,M01,U001,13,58,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-09,M01,U001,12,46,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-10,M01,U001,14,32,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-11,M01,U001,17,15,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-12,M01,U001,15,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-13,M01,U001,17,60,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-14,M01,U001,15,45,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-15,M01,U001,15,30,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-16,M01,U001,18,12,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-17,M01,U001,12,0,149.45,True,İçecek,Gazlı İçecek,Marka-A,True
2025-01-18,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-19,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-20,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-21,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-22,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-23,M01,U001,0,0,158.24,True,İçecek,Gazlı İçecek,Marka-A,True
2025-01-24,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-25,M01,U001,22,58,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-26,M01,U001,19,39,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-27,M01,U001,23,16,149.45,False,İçecek,Gazlı İçecek,Marka-A,True
2025-01-28,M01,U001,16,0,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-01-29,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-30,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-01-31,M01,U001,15,70,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-01,M01,U001,25,45,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-02,M01,U001,15,30,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-03,M01,U001,13,17,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-04,M01,U001,13,4,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-05,M01,U001,4,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-02-06,M01,U001,33,56,140.66,False,İçecek,Gazlı İçecek,Marka-A,True
2025-02-07,M01,U001,22,34,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-08,M01,U001,14,20,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-09,M01,U001,20,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-02-10,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-02-11,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-02-12,M01,U001,11,71,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-13,M01,U001,11,60,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-14,M01,U001,18,42,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-15,M01,U001,17,25,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-16,M01,U001,23,2,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-17,M01,U001,2,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-02-18,M01,U001,25,60,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-19,M01,U001,18,42,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-20,M01,U001,21,21,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
2025-02-21,M01,U001,21,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-02-22,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-02-23,M01,U001,0,0,175.82,True,İçecek,Gazlı İçecek,Marka-A,False
2025-02-24,M01,U001,20,65,175.82,False,İçecek,Gazlı İçecek,Marka-A,False
