Tarih,Magaza_ID,Urun_ID,Baslangic_Stoku,Planlanan_Sevkiyat,Birim_Fiyat,Promosyon_Flag
2025-05-07,M01,U001,0.0,79.0,175.82,False
2025-05-08,M01,U001,,0.0,175.82,False
2025-05-09,M01,U001,,0.0,175.82,False
2025-05-10,M01,U001,,0.0,175.82,False
2025-05-11,M01,U001,,0.0,175.82,False
2025-05-12,M01,U001,,0.0,175.82,False
2025-05-13,M01,U001,,90.0,175.82,False
2025-05-14,M01,U001,,0.0,175.82,False
2025-05-15,M01,U001,,0.0,175.82,False
2025-05-16,M01,U001,,0.0,175.82,False
2025-05-17,M01,U001,,0.0,175.82,False
2025-05-18,M01,U001,,0.0,175.82,False
2025-05-19,M01,U001,,85.0,175.82,False
2025-05-20,M01,U001,,0.0,158.24,True
2025-05-07,M01,U002,0.0,144.0,192.33,False
2025-05-08,M01,U002,,0.0,173.1,True
2025-05-09,M01,U002,,0.0,192.33,False
2025-05-10,M01,U002,,0.0,192.33,False
2025-05-11,M01,U002,,0.0,192.33,False
2025-05-12,M01,U002,,0.0,192.33,False
2025-05-13,M01,U002,,0.0,192.33,False
2025-05-14,M01,U002,,126.0,192.33,False
2025-05-15,M01,U002,,0.0,192.33,False
2025-05-16,M01,U002,,0.0,192.33,False
2025-05-17,M01,U002,,0.0,192.33,False
2025-05-18,M01,U002,,0.0,192.33,False
2025-05-19,M01,U002,,0.0,192.33,False
2025-05-20,M01,U002,,0.0,192.33,False
2025-05-07,M01,U003,0.0,0.0,43.26,False
2025-05-08,M01,U003,,0.0,43.26,False
2025-05-09,M01,U003,,199.0,43.26,False
2025-05-10,M01,U003,,0.0,43.26,False
2025-05-11,M01,U003,,0.0,43.26,False
2025-05-12,M01,U003,,0.0,43.26,False
2025-05-13,M01,U003,,125.0,43.26,False
2025-05-14,M01,U003,,0.0,43.26,False
2025-05-15,M01,U003,,0.0,38.93,True
2025-05-16,M01,U003,,0.0,43.26,False
2025-05-17,M01,U003,,177.0,43.26,False
2025-05-18,M01,U003,,0.0,43.26,False
2025-05-19,M01,U003,,0.0,43.26,False
2025-05-20,M01,U003,,0.0,43.26,False
2025-05-07,M01,U004,116.0,0.0,173.32,False
2025-05-08,M01,U004,,0.0,173.32,False
2025-05-09,M01,U004,,0.0,173.32,False
2025-05-10,M01,U004,,0.0,173.32,False
2025-05-11,M01,U004,,128.0,173.32,False
2025-05-12,M01,U004,,0.0,173.32,False
2025-05-13,M01,U004,,0.0,173.32,False
2025-05-14,M01,U004,,0.0,173.32,False
2025-05-15,M01,U004,,0.0,173.32,False
2025-05-16,M01,U004,,118.0,173.32,False
2025-05-17,M01,U004,,0.0,138.66,True
2025-05-18,M01,U004,,0.0,173.32,False
2025-05-19,M01,U004,,0.0,173.32,False
2025-05-20,M01,U004,,0.0,173.32,False
2025-05-07,M01,U005,0.0,98.0,49.88,False
2025-05-08,M01,U005,,0.0,49.88,False
2025-05-09,M01,U005,,0.0,42.4,True
2025-05-10,M01,U005,,0.0,49.88,False
2025-05-11,M01,U005,,0.0,49.88,False
2025-05-12,M01,U005,,0.0,49.88,False
2025-05-13,M01,U005,,95.0,49.88,False
2025-05-14,M01,U005,,0.0,49.88,False
2025-05-15,M01,U005,,0.0,49.88,False
2025-05-16,M01,U005,,0.0,42.4,True
2025-05-17,M01,U005,,0.0,49.88,False
2025-05-18,M01,U005,,0.0,49.88,False
2025-05-19,M01,U005,,88.0,49.88,False
2025-05-20,M01,U005,,0.0,49.88,False
2025-05-07,M01,U006,0.0,186.0,97.21,False
2025-05-08,M01,U006,,0.0,97.21,False
2025-05-09,M01,U006,,0.0,97.21,False
2025-05-10,M01,U006,,0.0,97.21,False
2025-05-11,M01,U006,,0.0,77.77,True
2025-05-12,M01,U006,,0.0,97.21,False
2025-05-13,M01,U006,,167.0,97.21,False
2025-05-14,M01,U006,,0.0,77.77,True
2025-05-15,M01,U006,,0.0,97.21,False
