Tarih,Magaza_ID,Urun_ID,Baslangic_Stoku,Planlanan_Sevkiyat,Birim_Fiyat,Promosyon_Flag,Bolge,Tedarik_Suresi_Gun,Beklenen_Giris_Tarihi,Dagitilabilir_Depo_Stogu,Magaza_Kapasitesi
2025-05-07,M01,U001,0.0,79.0,175.82,False,Marmara,3,2025-05-07,168,285.0
2025-05-08,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-08,168,118.0
2025-05-09,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-09,168,249.0
2025-05-10,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-10,168,362.0
2025-05-11,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-11,168,329.0
2025-05-12,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-12,168,131.0
2025-05-13,M01,U001,,90.0,175.82,False,Marmara,3,2025-05-14,168,157.0
2025-05-14,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-14,168,297.0
2025-05-15,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-15,168,274.0
2025-05-16,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-16,168,308.0
2025-05-17,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-17,168,188.0
2025-05-18,M01,U001,,0.0,175.82,False,Marmara,3,2025-05-18,168,123.0
2025-05-19,M01,U001,,85.0,175.82,False,Marmara,3,2025-05-20,168,369.0
2025-05-20,M01,U001,,0.0,158.24,True,Marmara,3,2025-05-20,168,321.0
2025-05-07,M01,U002,0.0,144.0,192.33,False,Marmara,4,2025-05-09,861,296.0
2025-05-08,M01,U002,,0.0,173.1,True,Marmara,4,2025-05-08,861,155.0
2025-05-09,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-09,861,121.0
2025-05-10,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-10,861,255.0
2025-05-11,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-11,861,235.0
2025-05-12,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-12,861,351.0
2025-05-13,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-13,861,111.0
2025-05-14,M01,U002,,126.0,192.33,False,Marmara,4,2025-05-15,861,354.0
2025-05-15,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-15,861,140.0
2025-05-16,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-16,861,355.0
2025-05-17,M01,U002,,0.0,192.33,False,Marmara,4,2025-05-17,861,182.0
